,0,1,2,3,4,5,6
2344,Kepler-170 b,2462,0.26 Jupiters,14.347,2014,7.9 days,0.0
2345,Kepler-170 c,2462,8.55 Earths,14.347,2014,16.7 days,0.0
2346,Kepler-171 b,2888,6.08 Earths,14.905,2014,4.2 days,0.0
2347,Kepler-171 c,2888,7.08 Earths,14.905,2014,11.5 days,0.0
2348,Kepler-171 d,2888,4.23 Earths,14.905,2014,39.6 days,0.0
2349,Kepler-172 b,2768,6.12 Earths,14.537,2014,2.9 days,0.0
2350,Kepler-172 c,2768,8.55 Earths,14.537,2014,6.4 days,0.0
2351,Kepler-172 d,2768,5.69 Earths,14.537,2014,14.6 days,0.0
2352,Kepler-172 e,2768,8.05 Earths,14.537,2014,35.1 days,0.0
2353,Kepler-173 b,2784,2.21 Earths,14.258,2014,4.3 days,0.0
2354,Kepler-173 c,2784,6.48 Earths,14.258,2014,8 days,0.0
2355,Kepler-174 b,1269,4.5 Earths,14.286,2014,14 days,0.0
2356,Kepler-174 c,1269,2.83 Earths,14.286,2014,44 days,0.0
2357,Kepler-174 d,1269,5.43 Earths,14.286,2014,247.4 days,0.0
2358,Kepler-175 b,4447,7.08 Earths,14.911,2014,11.9 days,0.0
2359,Kepler-175 c,4447,9.8 Earths,14.911,2014,34 days,0.0
2360,Kepler-176 b,1746,2.63 Earths,14.545,2014,5.4 days,0.0
2361,Kepler-176 c,1746,23 Earths,14.545,2014,12.8 days,0.0
2362,Kepler-176 d,1746,15.2 Earths,14.545,2014,25.8 days,0.0
2363,Kepler-176 e,1746,2.7 Earths,14.545,2016,51.2 days,0.0
2364,Kepler-177 b,4885,5.84 Earths,14.941,2013,35.9 days,0.0
2365,Kepler-177 c,4885,14.7 Earths,14.941,2013,49.4 days,0.0
2366,Kepler-178 b,2385,8.75 Earths,14.578,2014,9.6 days,0.0
2367,Kepler-178 c,2385,8.65 Earths,14.578,2014,20.6 days,0.0
2368,Kepler-178 d,2385,14.8 Earths,14.578,2014,96.7 days,0.0
2369,Kepler-179 b,2011,3.33 Earths,14.603,2014,2.7 days,0.0
2370,Kepler-179 c,2011,4.66 Earths,14.603,2014,6.4 days,0.0
2371,Kepler-17 b,2610,2.45 Jupiters,14.131,2011,1.5 days,< 0.011
2372,Kepler-180 b,2315,2.86 Earths,14.325,2014,13.8 days,0.0
2373,Kepler-180 c,2315,9.32 Earths,14.325,2014,41.9 days,0.0
2374,Kepler-181 b,2023,2.15 Earths,14.714,2014,3.1 days,0.0
2375,Kepler-181 c,2023,4.62 Earths,14.714,2014,4.3 days,0.0
2376,Kepler-182 b,5290,7.18 Earths,14.874,2014,9.8 days,0.0
2377,Kepler-182 c,5290,11.6 Earths,14.874,2014,20.7 days,0.0
2378,Kepler-183 b,3531,4.9 Earths,14.893,2014,5.7 days,0.0
2379,Kepler-183 c,3531,35.7 Earths,14.893,2014,11.6 days,0.0
2380,Kepler-184 b,2026,6.17 Earths,14.311,2014,10.7 days,0.0
2381,Kepler-184 c,2026,8.8 Earths,14.311,2014,20.3 days,0.0
2382,Kepler-184 d,2026,6.76 Earths,14.311,2014,29 days,0.0
2383,Kepler-185 b,1543,1.71 Earths,14.443,2014,1.6 days,0.0
2384,Kepler-185 c,1543,4.74 Earths,14.443,2014,20.7 days,0.0
2385,Kepler-186 b,561,1.24 Earths,14.599,2014,3.9 days,0.0
2386,Kepler-186 c,561,2.1 Earths,14.599,2014,7.3 days,0.0
2387,Kepler-186 d,561,2.54 Earths,14.599,2014,13.3 days,0.0
2388,Kepler-186 e,561,2.15 Earths,14.599,2014,22.4 days,0.0
2389,Kepler-186 f,561,1.71 Earths,14.599,2014,129.9 days,0.04
2390,Kepler-187 b,3852,2.57 Earths,14.175,2014,4.9 days,0.0
2391,Kepler-187 c,3852,7.61 Earths,14.175,2014,10.6 days,0.0
2392,Kepler-188 b,3249,3.46 Earths,14.634,2014,2.1 days,0.0
2393,Kepler-188 c,3249,10.3 Earths,14.634,2014,6 days,0.0
2394,Kepler-189 b,1963,1.92 Earths,14.821,2014,10.4 days,0.0
2395,Kepler-189 c,1963,22.7 Earths,14.821,2014,20.1 days,0.0
2396,Kepler-18 b,1430,6.9 Earths,13.539,2011,3.5 days,0.0
2397,Kepler-18 c,1430,17.3 Earths,13.539,2011,7.6 days,0.0
2398,Kepler-18 d,1430,16.4 Earths,13.539,2011,14.9 days,0.0
2399,Kepler-190 b,1432,3.05 Earths,14.118,2014,2 days,0.0
2400,Kepler-190 c,1432,2.73 Earths,14.118,2014,3.8 days,0.0
2401,Kepler-191 b,1973,2.36 Earths,14.776,2014,9.9 days,0.0
2402,Kepler-191 c,1973,4.12 Earths,14.776,2014,17.7 days,0.0
2403,Kepler-191 d,1973,5.82 Earths,14.776,2016,5.9 days,0.0
2404,Kepler-192 b,2166,7.95 Earths,14.104,2014,9.9 days,0.0
2405,Kepler-192 c,2166,8.2 Earths,14.104,2014,21.2 days,0.0
2406,Kepler-192 d,2166,1.04 Earths,14.104,2016,6.5 days,0.0
2407,Kepler-193 b,3389,6.3 Earths,14.596,2014,11.4 days,0.0
2408,Kepler-193 c,3389,8 Earths,14.596,2014,50.7 days,0.0
2409,Kepler-194 b,3697,2.89 Earths,14.912,2014,2.1 days,0.0
2410,Kepler-194 c,3697,7.22 Earths,14.912,2014,17.3 days,0.0
2411,Kepler-194 d,3697,6.35 Earths,14.912,2014,52.8 days,0.0
2412,Kepler-195 b,2168,4.78 Earths,14.799,2014,8.3 days,0.0
2413,Kepler-195 c,2168,3.02 Earths,14.799,2014,34.1 days,0.0
2414,Kepler-196 b,1492,4.27 Earths,14.103,2014,20.7 days,0.0
2415,Kepler-196 c,1492,5.65 Earths,14.103,2014,47.4 days,0.0
2416,Kepler-197 b,1089,1.04 Earths,11.78,2014,5.6 days,0.02
2417,Kepler-197 c,1089,5.3 Earths,11.78,2014,10.3 days,0.08
2418,Kepler-197 d,1089,1.98 Earths,11.78,2014,15.7 days,0.03
2419,Kepler-197 e,1089,0.693 Earths,11.78,2014,25.2 days,0.38
2420,Kepler-198 b,1639,8.35 Earths,13.566,2014,17.8 days,0.0
2421,Kepler-198 c,1639,6.66 Earths,13.566,2014,49.6 days,0.0
2422,Kepler-198 d,1639,2.96 Earths,13.566,2016,1.3 days,0.0
2423,Kepler-199 b,1726,9.85 Earths,13.597,2014,23.6 days,0.0
2424,Kepler-199 c,1726,10.6 Earths,13.597,2014,67.1 days,0.0
2425,Kepler-19 b,717,8.4 Earths,11.876,2011,9.3 days,0.12
2426,Kepler-19 c,717,13.1 Earths,11.876,2011,28.7 days,0.21
2427,Kepler-19 d,717,22.5 Earths,11.876,2017,63 days,0.05
2428,Kepler-200 b,2215,5.18 Earths,13.952,2014,8.6 days,0.0
2429,Kepler-200 c,2215,3.15 Earths,13.952,2014,10.2 days,0.0
2430,Kepler-201 b,2114,6.62 Earths,12.92,2014,25.7 days,0.0
2431,Kepler-201 c,2114,8.5 Earths,12.92,2014,151.9 days,0.0
2432,Kepler-202 b,938,3.29 Earths,13.843,2014,4.1 days,0.0
2433,Kepler-202 c,938,4.08 Earths,13.843,2014,16.3 days,0.0
2434,Kepler-203 b,2341,7.13 Earths,13.942,2014,3.2 days,0.0
2435,Kepler-203 c,2341,2.36 Jupiters,13.942,2014,5.4 days,0.0
2436,Kepler-203 d,2341,33.9 Earths,13.942,2014,11.3 days,0.0
2437,Kepler-204 b,2285,6.94 Earths,13.874,2014,14.4 days,0.0
2438,Kepler-204 c,2285,3.86 Earths,13.874,2014,25.7 days,0.0
2439,Kepler-205 b,523,2.89 Earths,13.495,2014,2.8 days,0.0
2440,Kepler-205 c,523,3.33 Earths,13.495,2014,20.3 days,0.0
2441,Kepler-206 b,1973,1.87 Earths,13.461,2014,7.8 days,0.0
2442,Kepler-206 c,1973,3.78 Earths,13.461,2014,13.1 days,0.0
2443,Kepler-206 d,1973,1.81 Earths,13.461,2014,23.4 days,0.0
2444,Kepler-207 b,2930,3.09 Earths,13.167,2014,1.6 days,0.0
2445,Kepler-207 c,2930,2.86 Earths,13.167,2014,3.1 days,0.0
2446,Kepler-207 d,2930,11 Earths,13.167,2014,5.9 days,0.0
2447,Kepler-208 b,2587,3.29 Earths,13.538,2014,4.2 days,0.0
2448,Kepler-208 c,2587,2.51 Earths,13.538,2014,7.5 days,0.0
2449,Kepler-208 d,2587,1.87 Earths,13.538,2014,11.1 days,0.0
2450,Kepler-208 e,2587,2.79 Earths,13.538,2014,16.3 days,0.0
2451,Kepler-209 b,1914,5.73 Earths,13.952,2014,16.1 days,0.0
2452,Kepler-209 c,1914,9.8 Earths,13.952,2014,41.7 days,0.0
2453,Kepler-20 b,929,9.7 Earths,12.51,2011,3.7 days,0.03
2454,Kepler-20 c,929,12.75 Earths,12.51,2011,10.9 days,0.16
2455,Kepler-20 d,929,10.07 Earths,12.51,2011,77.6 days,< 0.6
2456,Kepler-20 e,929,3.08 Earths,12.51,2011,6.1 days,< 0.28
2457,Kepler-20 f,929,14.3 Earths,12.51,2011,19.6 days,< 0.32
2458,Kepler-20 g,929,19.96 Earths,12.51,2016,34.9 days,0.15
2459,Kepler-210 b,764,8.96 Earths,13.804,2014,2.5 days,0.0
2460,Kepler-210 c,764,12.8 Earths,13.804,2014,8 days,0.0
2461,Kepler-211 b,1018,2.13 Earths,13.273,2014,4.1 days,0.0
2462,Kepler-211 c,1018,18.3 Earths,13.273,2014,6 days,0.0
2463,Kepler-212 b,2287,1.32 Earths,12.987,2014,16.3 days,0.0
2464,Kepler-212 c,2287,7.95 Earths,12.987,2014,31.8 days,0.0
2465,Kepler-213 b,2110,3.26 Earths,13.602,2014,2.5 days,0.0
2466,Kepler-213 c,2110,6.08 Earths,13.602,2014,4.8 days,0.0
2467,Kepler-214 b,4084,7.32 Earths,13.906,2014,15.7 days,0.0
2468,Kepler-214 c,4084,5.18 Earths,13.906,2014,28.8 days,0.0
2469,Kepler-215 b,1608,3.26 Earths,13.555,2014,9.4 days,0.0
2470,Kepler-215 c,1608,3.78 Earths,13.555,2014,14.7 days,0.0
2471,Kepler-215 d,1608,23.6 Earths,13.555,2014,30.9 days,0.0
2472,Kepler-215 e,1608,3.71 Earths,13.555,2014,68.2 days,0.0
2473,Kepler-216 b,4010,6.12 Earths,13.961,2014,7.7 days,0.0
2474,Kepler-216 c,4010,9.48 Earths,13.961,2014,17.4 days,0.0
2475,Kepler-217 b,3722,5.6 Earths,13.121,2014,5.4 days,0.0
2476,Kepler-217 c,3722,4.08 Earths,13.121,2014,8.6 days,0.0
2477,Kepler-217 d,3722,2.3 Earths,13.121,2016,3.9 days,0.0
2478,Kepler-218 b,2182,2.79 Earths,13.907,2014,3.6 days,0.0
2479,Kepler-218 c,2182,10 Earths,13.907,2014,44.7 days,0.0
2480,Kepler-218 d,2182,7.56 Earths,13.907,2016,124.5 days,0.0
2481,Kepler-219 b,2627,9.01 Earths,13.718,2014,4.6 days,0.0
2482,Kepler-219 c,2627,12.5 Earths,13.718,2014,22.7 days,0.0
2483,Kepler-219 d,2627,19.1 Earths,13.718,2014,47.9 days,0.0
2484,Kepler-21 b,355,5.08 Earths,8.25,2012,2.8 days,0.02
2485,Kepler-220 b,561,0.457 Earths,12.857,2014,4.2 days,0.0
2486,Kepler-220 c,561,3.09 Earths,12.857,2014,9 days,0.0
2487,Kepler-220 d,561,0.904 Earths,12.857,2014,28.1 days,0.0
2488,Kepler-220 e,561,2.33 Earths,12.857,2014,45.9 days,0.0
2489,Kepler-221 b,1271,3.57 Earths,13.749,2014,2.8 days,0.0
2490,Kepler-221 c,1271,15.1 Earths,13.749,2014,5.7 days,0.0
2491,Kepler-221 d,1271,7.9 Earths,13.749,2014,10 days,0.0
2492,Kepler-221 e,1271,7.41 Earths,13.749,2014,18.4 days,0.0
2493,Kepler-222 b,2530,10.1 Earths,15.06,2014,3.9 days,0.0
2494,Kepler-222 c,2530,19.4 Earths,15.06,2014,10.1 days,0.0
2495,Kepler-222 d,2530,13.2 Earths,15.06,2014,28.1 days,0.0
2496,Kepler-223 b,6395,7.4 Earths,15.395,2014,7.4 days,0.08
2497,Kepler-223 c,6395,5.1 Earths,15.395,2014,9.8 days,0.15
2498,Kepler-223 d,6395,8 Earths,15.395,2014,14.8 days,0.04
2499,Kepler-223 e,6395,4.8 Earths,15.395,2014,19.7 days,0.05
2500,Kepler-224 b,2609,2.51 Earths,15.636,2014,3.1 days,0.0
2501,Kepler-224 c,2609,9.91 Earths,15.636,2014,5.9 days,0.0
2502,Kepler-224 d,2609,5.9 Earths,15.636,2014,11.3 days,0.0
2503,Kepler-224 e,2609,4.54 Earths,15.636,2014,18.6 days,0.0
2504,Kepler-225 b,1859,1.87 Earths,15.95,2014,6.7 days,0.0
2505,Kepler-225 c,1859,4.04 Earths,15.95,2014,18.8 days,0.0
2506,Kepler-226 b,3289,24 Earths,15.403,2014,3.9 days,0.0
2507,Kepler-226 c,3289,0.142 Jupiters,15.403,2014,5.3 days,0.0
2508,Kepler-226 d,3289,1.98 Earths,15.403,2014,8.1 days,0.0
2509,Kepler-227 b,3645,9.85 Earths,15.323,2014,9.5 days,0.0
2510,Kepler-227 c,3645,9.48 Earths,15.323,2014,54.4 days,0.0
2511,Kepler-228 b,5626,2.96 Earths,15.704,2014,2.6 days,0.0
2512,Kepler-228 c,5626,7.75 Earths,15.704,2014,4.1 days,0.0
2513,Kepler-228 d,5626,15.4 Earths,15.704,2014,11.1 days,0.0
2514,Kepler-229 b,2759,5.48 Earths,15.826,2014,6.3 days,0.0
2515,Kepler-229 c,2759,21.5 Earths,15.826,2014,16.1 days,0.0
2516,Kepler-229 d,2759,14.2 Earths,15.826,2014,41.2 days,0.0
2517,Kepler-22 b,620,36 Earths,11.644,2011,289.9 days,0.0
2518,Kepler-230 b,2468,16.8 Earths,15.073,2014,32.6 days,0.0
2519,Kepler-230 c,2468,4.82 Earths,15.073,2014,91.8 days,0.0
2520,Kepler-231 b,1042,35.4 Earths,15.39,2014,10.1 days,0.0
2521,Kepler-231 c,1042,24.1 Earths,15.39,2014,19.3 days,0.0
2522,Kepler-232 b,4576,9.69 Earths,15.32,2014,4.4 days,0.0
2523,Kepler-232 c,4576,14 Earths,15.32,2014,11.4 days,0.0
2524,Kepler-233 b,2863,6.48 Earths,15.326,2014,8.5 days,0.0
2525,Kepler-233 c,2863,7.8 Earths,15.326,2014,60.4 days,0.0
2526,Kepler-234 b,5940,13.2 Earths,15.501,2014,2.7 days,0.0
2527,Kepler-234 c,5940,12.1 Earths,15.501,2014,7.2 days,0.0
2528,Kepler-235 b,1413,5.6 Earths,15.969,2014,3.3 days,0.0
2529,Kepler-235 c,1413,2.18 Earths,15.969,2014,7.8 days,0.0
2530,Kepler-235 d,1413,4.86 Earths,15.969,2014,20.1 days,0.0
2531,Kepler-235 e,1413,5.56 Earths,15.969,2014,46.2 days,0.0
2532,Kepler-236 b,950,3.09 Earths,15.374,2014,8.3 days,0.0
2533,Kepler-236 c,950,4.66 Earths,15.374,2014,24 days,0.0
2534,Kepler-237 b,2187,2.57 Earths,15.283,2014,4.7 days,0.0
2535,Kepler-237 c,2187,4.98 Earths,15.283,2014,8.1 days,0.0
2536,Kepler-238 b,6190,3.64 Earths,15.024,2014,2.1 days,0.0
2537,Kepler-238 c,6190,6.3 Earths,15.024,2014,6.2 days,0.0
2538,Kepler-238 d,6190,9.64 Earths,15.024,2014,13.2 days,0.0
2539,Kepler-238 e,6190,0.534 Jupiters,15.024,2013,23.7 days,0.0
2540,Kepler-238 f,6190,13.5 Earths,15.024,2013,50.4 days,0.0
2541,Kepler-239 b,2153,6.04 Earths,15.233,2014,11.8 days,0.0
2542,Kepler-239 c,2153,6.85 Earths,15.233,2014,56.2 days,0.0
2543,Kepler-23 b,2793,0.8 Jupiters,13.401,2011,7.1 days,0.06
2544,Kepler-23 c,2793,2.7 Jupiters,13.401,2011,10.7 days,0.02
2545,Kepler-23 d,2793,17.6 Earths,13.401,2014,15.3 days,0.08
2546,Kepler-240 b,2488,2.45 Earths,15.662,2014,4.1 days,0.0
2547,Kepler-240 c,2488,0.322 Jupiters,15.662,2014,8 days,0.0
2548,Kepler-241 b,1989,6.04 Earths,15.387,2014,12.7 days,0.0
2549,Kepler-241 c,1989,7.13 Earths,15.387,2014,36.1 days,0.0
2550,Kepler-242 b,1992,7.32 Earths,15.349,2014,8.2 days,0.0
2551,Kepler-242 c,1992,4.66 Earths,15.349,2014,14.5 days,0.0
2552,Kepler-243 b,2309,6.57 Earths,15.057,2014,5.7 days,0.0
2553,Kepler-243 c,2309,4.62 Earths,15.057,2014,20 days,0.0
2554,Kepler-244 b,3483,8.05 Earths,15.545,2014,4.3 days,0.0
2555,Kepler-244 c,3483,4.86 Earths,15.545,2014,9.8 days,0.0
2556,Kepler-244 d,3483,15.2 Earths,15.545,2014,20.1 days,0.0
2557,Kepler-245 b,2879,7.13 Earths,15.597,2014,7.5 days,0.0
2558,Kepler-245 c,2879,0.71 Jupiters,15.597,2014,17.5 days,0.0
2559,Kepler-245 d,2879,21.6 Earths,15.597,2014,36.3 days,0.0
2560,Kepler-245 e,2879,3.71 Earths,15.597,2016,3.2 days,0.0
2561,Kepler-246 b,2079,6.08 Earths,15.042,2014,4.6 days,0.0
2562,Kepler-246 c,2079,2.86 Earths,15.042,2014,11.2 days,0.0
2563,Kepler-247 b,2206,3.33 Earths,15.047,2014,3.3 days,0.0
2564,Kepler-247 c,2206,15.7 Earths,15.047,2014,9.4 days,0.0
2565,Kepler-247 d,2206,14.7 Earths,15.047,2014,20.5 days,0.0
2566,Kepler-248 b,2462,9.38 Earths,15.233,2014,6.3 days,0.0
2567,Kepler-248 c,2462,15.6 Earths,15.233,2014,16.2 days,0.0
2568,Kepler-249 b,624,1.32 Earths,15.23,2014,3.3 days,0.0
2569,Kepler-249 c,624,2.89 Earths,15.23,2014,7.1 days,0.0
2570,Kepler-249 d,624,3.09 Earths,15.23,2014,15.4 days,0.0
2571,Kepler-24 b,3901,1.6 Jupiters,14.923,2011,8.1 days,0.0
2572,Kepler-24 c,3901,1.6 Jupiters,14.923,2011,12.3 days,0.0
2573,Kepler-24 d,3901,3.43 Earths,14.923,2014,4.2 days,0.0
2574,Kepler-24 e,3901,8.15 Earths,14.923,2014,19 days,0.0
2575,Kepler-250 b,2536,1.51 Earths,15.414,2014,4.1 days,0.0
2576,Kepler-250 c,2536,5.82 Earths,15.414,2014,7.2 days,0.0
2577,Kepler-250 d,2536,5.39 Earths,15.414,2014,17.6 days,0.0
2578,Kepler-251 b,3096,2.33 Earths,15.216,2014,4.8 days,0.0
2579,Kepler-251 c,3096,8.1 Earths,15.216,2014,16.5 days,0.0
2580,Kepler-251 d,3096,8.1 Earths,15.216,2014,30.1 days,0.0
2581,Kepler-251 e,3096,8.1 Earths,15.216,2014,99.6 days,0.0
2582,Kepler-252 b,1251,2.04 Earths,15.029,2014,6.7 days,0.0
2583,Kepler-252 c,1251,5.27 Earths,15.029,2014,10.8 days,0.0
2584,Kepler-253 b,2802,3.29 Earths,15.512,2014,3.8 days,0.0
2585,Kepler-253 c,2802,7.51 Earths,15.512,2014,10.3 days,0.0
2586,Kepler-253 d,2802,10.2 Earths,15.512,2014,18.1 days,0.0
2587,Kepler-254 b,4718,14.3 Earths,15.838,2014,5.8 days,0.0
2588,Kepler-254 c,4718,3.2 Earths,15.838,2014,12.4 days,0.0
2589,Kepler-254 d,4718,6.8 Earths,15.838,2014,18.7 days,0.0
2590,Kepler-255 b,3538,3.02 Earths,15.528,2014,5.7 days,0.0
2591,Kepler-255 c,3538,9.22 Earths,15.528,2014,9.9 days,0.0
2592,Kepler-255 d,3538,2.3 Earths,15.528,2016,1 days,0.0
2593,Kepler-256 b,3449,3.15 Earths,15.015,2014,1.6 days,0.0
2594,Kepler-256 c,3449,5.27 Earths,15.015,2014,3.4 days,0.0
2595,Kepler-256 d,3449,6.71 Earths,15.015,2014,5.8 days,0.0
2596,Kepler-256 e,3449,6.12 Earths,15.015,2014,10.7 days,0.0
2597,Kepler-257 b,2602,7.32 Earths,15.422,2014,2.4 days,0.0
2598,Kepler-257 c,2602,25.2 Earths,15.422,2014,6.6 days,0.0
2599,Kepler-257 d,2602,21.7 Earths,15.422,2014,24.7 days,0.0
2600,Kepler-258 b,1910,15.5 Earths,15.201,2014,13.2 days,0.0
2601,Kepler-258 c,1910,12.7 Earths,15.201,2014,33.7 days,0.0
2602,Kepler-259 b,3365,8.25 Earths,15.169,2014,8.1 days,0.0
2603,Kepler-259 c,3365,7.75 Earths,15.169,2014,36.9 days,0.0
2604,Kepler-25 b,799,8.7 Earths,10.632,2011,6.2 days,0.0
2605,Kepler-25 c,799,15.2 Earths,10.632,2011,12.7 days,0.01
2606,Kepler-25 d,799,0.226 Jupiters,10.632,2014,122.4 days,0.13
2607,Kepler-260 b,2084,4.7 Earths,14.118,2014,8.2 days,0.0
2608,Kepler-260 c,2084,3.68 Earths,14.118,2014,76.1 days,0.0
2609,Kepler-261 b,1045,5.39 Earths,13.529,2014,10.4 days,0.0
2610,Kepler-261 c,1045,4.66 Earths,13.529,2014,24.6 days,0.0
2611,Kepler-262 b,2036,2.42 Earths,14.224,2014,13.1 days,0.0
2612,Kepler-262 c,2036,3.33 Earths,14.224,2014,21.9 days,0.0
2613,Kepler-263 b,2515,7.61 Earths,15.417,2014,16.6 days,0.0
2614,Kepler-263 c,2515,6.66 Earths,15.417,2014,47.3 days,0.0
2615,Kepler-264 b,3158,11.1 Earths,13.013,2014,40.8 days,0.0
2616,Kepler-264 c,3158,8.4 Earths,13.013,2014,140.1 days,0.0
2617,Kepler-265 b,4333,4.12 Earths,15.352,2014,6.8 days,0.0
2618,Kepler-265 c,4333,7.41 Earths,15.352,2014,17 days,0.0
2619,Kepler-265 d,4333,6.76 Earths,15.352,2014,43.1 days,0.0
2620,Kepler-265 e,4333,7.22 Earths,15.352,2014,67.8 days,0.0
2621,Kepler-266 b,4649,6.71 Earths,15.577,2014,6.6 days,0.0
2622,Kepler-266 c,4649,14.4 Earths,15.577,2014,107.7 days,0.0
2623,Kepler-267 b,871,37.9 Earths,15.469,2014,3.4 days,0.0
2624,Kepler-267 c,871,5.18 Earths,15.469,2014,6.9 days,0.0
2625,Kepler-267 d,871,5.77 Earths,15.469,2014,28.5 days,0.0
2626,Kepler-268 b,2848,7.04 Earths,13.668,2014,25.9 days,0.0
2627,Kepler-268 c,2848,11.4 Earths,13.668,2014,83.4 days,0.0
2628,Kepler-269 b,7890,6.66 Earths,15.735,2014,5.3 days,0.0
2629,Kepler-269 c,7890,3.5 Earths,15.735,2014,8.1 days,0.0
2630,Kepler-26 b,1104,5.12 Earths,15.409,2011,12.3 days,0.0
2631,Kepler-26 c,1104,6.2 Earths,15.409,2011,17.3 days,0.0
2632,Kepler-26 d,1104,1.24 Earths,15.409,2014,3.5 days,0.0
2633,Kepler-26 e,1104,6.39 Earths,15.409,2014,46.8 days,0.0
2634,Kepler-270 b,3182,4.7 Earths,13.859,2014,11.5 days,0.0
2635,Kepler-270 c,3182,3.78 Earths,13.859,2014,25.3 days,0.0
2636,Kepler-271 b,1364,2.04 Earths,13.428,2014,10.4 days,0.0
2637,Kepler-271 c,1364,0.809 Earths,13.428,2014,7.4 days,0.0
2638,Kepler-271 d,1364,0.219 Earths,13.428,2016,5.2 days,0.0
2639,Kepler-272 b,2978,0.245 Jupiters,14.659,2014,3 days,0.0
2640,Kepler-272 c,2978,0.308 Jupiters,14.659,2014,6.1 days,0.0
2641,Kepler-272 d,2978,5.69 Earths,14.659,2014,10.9 days,0.0
2642,Kepler-273 b,2378,2.86 Earths,14.968,2014,2.9 days,0.0
2643,Kepler-273 c,2378,4.58 Earths,14.968,2014,8 days,0.0
2644,Kepler-274 b,4520,2.99 Earths,15.032,2014,11.6 days,0.0
2645,Kepler-274 c,4520,4.04 Earths,15.032,2014,33.2 days,0.0
2646,Kepler-275 b,7030,6.08 Earths,15.287,2014,10.3 days,0.0
2647,Kepler-275 c,7030,11.4 Earths,15.287,2014,16.1 days,0.0
2648,Kepler-275 d,7030,11.1 Earths,15.287,2014,35.7 days,0.0
2649,Kepler-276 b,3855,8.6 Earths,15.365,2014,14.1 days,0.0
2650,Kepler-276 c,3855,16.6 Earths,15.365,2013,31.9 days,0.0
2651,Kepler-276 d,3855,16.3 Earths,15.365,2013,48.6 days,0.0
2652,Kepler-277 b,3278,0.275 Jupiters,13.388,2013,17.3 days,0.0
2653,Kepler-277 c,3278,0.202 Jupiters,13.388,2013,33 days,0.0
2654,Kepler-278 b,1463,15.6 Earths,11.53,2014,30.2 days,0.04
2655,Kepler-278 c,1463,12.6 Earths,11.53,2014,51.1 days,0.51
2656,Kepler-279 b,3488,12.8 Earths,13.585,2014,12.3 days,0.0
2657,Kepler-279 c,3488,0.155 Jupiters,13.585,2013,35.7 days,0.0
2658,Kepler-279 d,3488,37.5 Earths,13.585,2013,54.4 days,0.0
2659,Kepler-27 b,3507,9.11 Jupiters,15.816,2011,15.3 days,0.0
2660,Kepler-27 c,3507,13.8 Jupiters,15.816,2011,31.3 days,0.0
2661,Kepler-280 b,2604,2.7 Earths,14.457,2014,2.1 days,0.0
2662,Kepler-280 c,2604,4.7 Earths,14.457,2014,4.8 days,0.0
2663,Kepler-281 b,5986,8.35 Earths,15.754,2014,14.6 days,0.0
2664,Kepler-281 c,5986,24.4 Earths,15.754,2014,36.3 days,0.0
2665,Kepler-282 b,4537,1.01 Earths,15.178,2014,9.2 days,0.0
2666,Kepler-282 c,4537,1.87 Earths,15.178,2014,13.6 days,0.0
2667,Kepler-282 d,4537,0.192 Jupiters,15.178,2013,24.8 days,0.0
2668,Kepler-282 e,4537,0.177 Jupiters,15.178,2013,44.3 days,0.0
2669,Kepler-283 b,1547,5.18 Earths,15.875,2014,11 days,0.0
2670,Kepler-283 c,1547,3.97 Earths,15.875,2014,92.7 days,0.0
2671,Kepler-284 b,3467,5.65 Earths,15.813,2014,12.7 days,0.0
2672,Kepler-284 c,3467,7.32 Earths,15.813,2014,37.5 days,0.0
2673,Kepler-285 b,2754,2.36 Earths,15.152,2014,2.6 days,0.0
2674,Kepler-285 c,2754,1.46 Earths,15.152,2014,6.2 days,0.0
2675,Kepler-286 b,4132,2.07 Earths,15.545,2014,1.8 days,0.0
2676,Kepler-286 c,4132,2.45 Earths,15.545,2014,3.5 days,0.0
2677,Kepler-286 d,4132,2.33 Earths,15.545,2014,5.9 days,0.0
2678,Kepler-286 e,4132,3.78 Earths,15.545,2014,29.2 days,0.0
2679,Kepler-287 b,2793,6.04 Earths,14.744,2014,20.3 days,0.0
2680,Kepler-287 c,2793,10.7 Earths,14.744,2014,44.9 days,0.0
2681,Kepler-288 b,4033,3.43 Earths,15.152,2014,6.1 days,0.0
2682,Kepler-288 c,4033,8.5 Earths,15.152,2014,19.3 days,0.0
2683,Kepler-288 d,4033,7.61 Earths,15.152,2014,56.6 days,0.0
2684,Kepler-289 b,2283,7.3 Earths,13.963,2014,34.5 days,0.0
2685,Kepler-289 c,2283,0.42 Jupiters,13.963,2014,125.9 days,0.0
2686,Kepler-289 d,2283,4 Earths,13.963,2014,66.1 days,0.0
2687,Kepler-28 b,1448,1.51 Jupiters,15.026,2011,5.9 days,0.0
2688,Kepler-28 c,1448,1.36 Jupiters,15.026,2011,9 days,0.0
2689,Kepler-290 b,2311,5.69 Earths,15.565,2014,14.6 days,0.0
2690,Kepler-290 c,2311,7.75 Earths,15.565,2014,36.8 days,0.0
2691,Kepler-291 b,6147,5.31 Earths,15.898,2014,3.5 days,0.0
2692,Kepler-291 c,6147,4.19 Earths,15.898,2014,5.7 days,0.0
2693,Kepler-292 b,3547,2.3 Earths,15.942,2014,2.6 days,0.0
